id;notes;timestamp;urgency_of_medical_treatment;need_for_legal_assistance
1;Tuna integrated deposit;2022-03-19T07:26:01;RED;97725
2;SAS Missouri deposit;2022-03-19T16:04:20;YELLOW;78029
3;generating;2022-03-19T00:30:15;RED;74409
4;Shoes;2022-03-19T06:58:32;YELLOW;43003
5;24/7 data-warehouse;2022-03-19T05:55:44;RED;83881
6;Chicken Paradigm;2022-03-18T20:12:50;WHITE;17832
7;connecting;2022-03-18T23:44:50;BLACK;83889
8;Bedfordshire hack portals;2022-03-19T15:56:54;BLACK;74734
9;Louisiana quantify;2022-03-19T11:18:09;RED;33525
10;discrete;2022-03-18T19:42:10;WHITE;30650
